AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
MASTER H.L.,(active c. 1515-1526 in Upper Rhine),Coronation of the Virgin,1525,"Polychromed wood, height 213 cm","Parish church, Niederrotweil (Kaiserstuhl)",https://www.wga.hu/detail/m/master/hl/altar1.jpg,sculpture,religious,German,1501-1550
MASTER HONORÉ,(active 1285-1315 in Paris),Breviary of Philippe le Bel,before 1296,"Manuscript (Ms. lat. 1023), 205 x 135 mm","Bibliothèque Nationale, Paris",https://www.wga.hu/detail/m/master/honore/breviary.jpg,illumination,religious,French,1251-1300
MASTER I.P.,(active 1520s),Adam and Eve,c. 1525,"Pearwood, 62,5 x 46,5 cm","Schlossmuseum, Gotha",https://www.wga.hu/detail/m/master/ip/adam_eve.jpg,sculpture,religious,German,1501-1550
MASTER IAM of Zwolle,(active 1470-1495 in Zwolle),The Lactation of St Bernard,1480-85,"Engraving, 320 x 241 mm","Rijksmuseum, Amsterdam",https://www.wga.hu/detail/m/master/iam/lactatio.jpg,graphics,religious,Netherlandish,1451-1500
MASTER M S,(16th century),The Visitation,1506,"Tempera on limewood, 139,5 x 94,7 cm","Magyar Nemzeti Galéria, Budapest",https://www.wga.hu/detail/m/master/ms/1visita.jpg,painting,religious,Hungarian,1501-1550
MASTER M Z,(active 1500-1510),Martyrdom of St Barbara,1501,"Coppe-plate engraving, 152 x 124 mm","Germanisches Nationalmuseum, Nuremberg",https://www.wga.hu/detail/m/master/mz/barbara.jpg,graphics,religious,German,1501-1550
MASTER MATEO,(active 1161-1217),Portico de la Gloria,1168-88,Stone,"Cathedral, Santiago de Compostela",https://www.wga.hu/detail/m/master/mateo/p_gloria.jpg,sculpture,religious,Spanish,1151-1200
MASTER of 1310,(active around 1310 in Pistoia),Madonna and Child with Angels and Donators,1310,"Poplar panel, gold ground, 215 x 132 cm","Musée du Petit Palais, Avignon",https://www.wga.hu/detail/m/master/1310/madonna.jpg,painting,religious,Italian,1301-1350
MASTER of 1416,(active early 15th century in Florence),St Anthony Abbot and St Francis of Assisi,-,"Tempera on panel with gilt, 70 x 58 cm",Private collection,https://www.wga.hu/detail/m/master/1416/saints.jpg,painting,religious,Italian,1401-1450
MASTER of 1456,(active 1450s in Cologne),Madonna on a Crescent Moon in Hortus Conclusus,1450s,"Oak, 95 x 62 cm","Staatliche Museen, Berlin",https://www.wga.hu/detail/m/master/1456/madonna.jpg,painting,religious,German,1451-1500
MASTER of 1540s,(active 1540s in Antwerp),Portrait of a Master Falconer in the Service of the Habsburg Family,1540s,"Oil on panel, 47 x 33 cm",Private collection,https://www.wga.hu/detail/m/master/1540/falconer.jpg,painting,portrait,Flemish,1501-1550
MASTER of AB Monogram,(active 1530s in Saxony),The Annunciation,c. 1530,"Oil on lime wood panel, 42 x 39 cm","Gemäldegalerie, Dresden",https://www.wga.hu/detail/m/master/ab/panel1.jpg,painting,religious,German,1501-1550
MASTER of AC Monogram,(second half of 16th century),"Portrait of a Princess of Jülich, Cleve and Berg",1577,"Wood, 44 x 34 cm","Alte Pinakothek, Munich",https://www.wga.hu/detail/m/master/ac/julich1.jpg,painting,portrait,French,1551-1600
MASTER of Alkmaar,(active c. 1500-1515),The Seven Works of Mercy,1504,"Oil on panel, 101 x 54 cm (outer panels). 101 x 56 cm (others)","Rijksmuseum, Amsterdam",https://www.wga.hu/detail/m/master/alkmaar/7mercy.jpg,painting,religious,Flemish,1501-1550
MASTER of Ávila,(active in last quarter of 15th century in Ávila),The Embrace,1480-90,Panel,"Basilica de San Vicente, Ávila",https://www.wga.hu/detail/m/master/avila/embrace.jpg,painting,religious,Spanish,1451-1500
MASTER of Badia a Isola,(active c. 1290-1320),Maestà,c. 1315,"Panel, 172 x 103 cm","Collezione Vittorio Cini, Venice",https://www.wga.hu/detail/m/master/badia/maesta.jpg,painting,religious,Italian,1301-1350
MASTER of Balaam,(active 1440s),St Eligius in His Workshop,c. 1450,"Engraving, 115 x 185 mm","Rijksmuseum, Amsterdam",https://www.wga.hu/detail/m/master/balaam/eligius.jpg,graphics,religious,German,1401-1450
MASTER of Bellaert,(active 1483-1487 in Haarlem),Animals from De proprietatibus rerum,1485,Woodcut,"British Library, London",https://www.wga.hu/detail/m/master/bellaert/propriet.jpg,graphics,other,Netherlandish,1451-1500
MASTER of Bigallo,(active 1225-1255 in Florence),Virgin and Child Enthroned,c. 1225,Panel,"San Romolo, Fiesole",https://www.wga.hu/detail/m/master/bigallo/virgin_c.jpg,painting,religious,Italian,1201-1250
MASTER of Budapest,(active c. 1500 in Castile),Crucifixion,c. 1500,"Tempera on canvas transferred from wood, 85 x 67,3 cm","Szépmûvészeti Múzeum, Budapest",https://www.wga.hu/detail/m/master/budapest/crucifix.jpg,painting,religious,Spanish,1501-1550
MASTER of Cabestany,(active 1130-1180),Tympanum,1150-80,Stone,"Parish Church of Notre-Dame, Cabestany",https://www.wga.hu/detail/m/master/cabestan/1cabesta.jpg,sculpture,religious,Italian,1101-1150
MASTER of Città di Castello,(active 1305-1320 in Siena),Crucifixion with the Virgin and St John the Evangelist,-,"Tempera on panel, gold ground, 39 x 35 cm",Private collection,https://www.wga.hu/detail/m/master/citta/crucifix.jpg,painting,religious,Italian,1301-1350
MASTER of Eggenburg,(active 1475-1500 in Lower Austria),St Adalbert and St Procopius (exterior),1490s,"Oil and gold on spruce panel, 71 x 45 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/detail/m/master/eggenbur/wencesl1.jpg,painting,religious,Austrian,1451-1500
MASTER of Elsloo,(active 1510-1530 in Limburg),St Anne with the Virgin and Child,c. 1520,"Oak, height 83 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/detail/m/master/elsloo/st_anne.jpg,sculpture,religious,Netherlandish,1501-1550
MASTER of Female Half-lengths,(active 1530-1540 in Antwerp),St Catherine,1530s,"Oil on panel, 45 x 36 cm","Pinacoteca di Brera, Milan",https://www.wga.hu/detail/m/master/female/catherin.jpg,painting,religious,Flemish,1501-1550
MASTER of Flémalle,"(b. ca. 1375, Valenciennes, d. 1444, Tournai)",Blessing Christ and Praying Virgin,c. 1424,"Oil and gold on panel, 29 x 46 cm","Museum of Art, Philadelphia",https://www.wga.hu/detail/m/master/flemalle/1/blessing.jpg,painting,religious,Flemish,1401-1450
MASTER of Flora,(active 1555-1570 in France),The Triumph of Flora,c. 1560,"Oil on wood, 131 x 110 cm","Private collection, Vicenza",https://www.wga.hu/detail/m/master/flora/triumph.jpg,painting,mythological,French,1551-1600
MASTER of Frankfurt,"(b. 1460, d. 1533, Antwerpen)",Adoration of the Christ Child,1496-1502,"Oil on oak panel, 58 x 40 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/detail/m/master/frankfur/adoratio.jpg,painting,religious,Flemish,1501-1550
MASTER of Heiligenkreuz,(active in the early 1400s in Austria),Annunciation,c. 1410,"Wood, 72 x 43,5 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/detail/m/master/heiligen/annuncia.jpg,painting,religious,Austrian,1401-1450
MASTER of Hohenfurth,(active 1350-70 in Prague),Kladsko Madonna,1350s,"Tempera on panel, 185 x 95 cm","Staatliche Museen, Berlin",https://www.wga.hu/detail/m/master/hohenfur/kladsko.jpg,painting,religious,Bohemian,1351-1400
MASTER of Hoogstraeten,(active c. 1490-1530),Adoration of the Magi,-,"Oil on oak panel, 83,4 x 73,1 cm","Museum Mayer van den Bergh, Antwerp",https://www.wga.hu/detail/m/master/hoogstra/adorati.jpg,painting,religious,Flemish,1501-1550
MASTER of Magdalen,(active c. 1265-1290 in Florence),St Mary Magdalen and Scenes from her Life,1280s,Panel,"Galleria dell'Accademia, Florence",https://www.wga.hu/detail/m/master/magdalen/magdalen.jpg,painting,religious,Italian,1251-1300
MASTER of Marradi,(active 1490s in Tuscany),Virgin and Child with Two Angels and the Infant St John,1490s,"Poplar panel, gold ground, diameter 68 cm","Musée du Petit Palais, Avignon",https://www.wga.hu/detail/m/master/marradi/virgin_c.jpg,painting,religious,Italian,1451-1500
MASTER of Mary of Burgundy,(active 1469-1483 in Ghent),Mary of Burgundy's Book of Hours,1470s,"Manuscript (Codex Vindobonensis 1857), 225 x 163 mm","Österreichische Nationalbibliothek, Vienna",https://www.wga.hu/detail/m/master/mary/hours1.jpg,illumination,religious,Flemish,1451-1500
MASTER of Monte Oliveto,(active 1305-1335 in Siena),Scenes from the Life of the Virgin (left wing),c. 1320,"Tempera on wood, gold ground, 64 x 24 cm (with frame)","Metropolitan Museum of Art, New York",https://www.wga.hu/detail/m/master/monte/triptyc1.jpg,painting,religious,Italian,1301-1350
MASTER of Moulins,(active 1480-1500),The Moulins Triptych,1498-99,"Panel, 157 x 283 cm","Cathedral, Moulins",https://www.wga.hu/detail/m/master/moulins/altar.jpg,painting,religious,French,1451-1500
MASTER of Pratovecchio,(active 1435-1455 in Florence),Madonna and Child,1440s,"Tempera on wood, 99 x 70 cm","Fogg Art Museum, Harvard University, Cambridge",https://www.wga.hu/detail/m/master/pratovec/madonna1.jpg,painting,religious,Italian,1451-1500
MASTER of Saint Cecilia,(active 1300-1320 in Florence),Saint Cecilia Altarpiece,c. 1304,"Tempera on wood, 85 x 181 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/detail/m/master/cecilia/cecilia.jpg,painting,religious,Italian,1301-1350
MASTER of Saint Gilles,(active around 1500 in France),The Baptism of Clovis,1500,Wood,"National Gallery of Art, Washington",https://www.wga.hu/detail/m/master/stgilles/clovis.jpg,painting,religious,French,1501-1550
MASTER of Saint Veronica,(active 1400-1420 in Cologne),The Man of Sorrow with the Virgin and St Catherine,1400-20,"Panel, 41 x 24 cm","Koninklijk Museum voor Schone Kunsten, Antwerp",https://www.wga.hu/detail/m/master/veronica/manmercy.jpg,painting,religious,German,1401-1450
MASTER of San Francesco Bardi,(active 1240-1270 in Florence),Crucifix with scenes from Calvary,1240-45,"Panel, 247 x 200 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/detail/m/master/san_fran/crucifix.jpg,painting,religious,Italian,1201-1250
MASTER of San Lucchese,(active 1340-1370),Coronation of the Virgin,1365-70,"Tempera on wood, 52 x 24 cm","Lindenau-Museum, Altenburg",https://www.wga.hu/detail/m/master/san_lucc/coronat.jpg,painting,religious,Italian,1351-1400
MASTER of San Miniato,(active 1460-1480 in Florence),Virgin and Child,1460-80,"Tempera and gold on wood, shaped top, 56 x 35 cm",Private collection,https://www.wga.hu/detail/m/master/san_mini/virgin_c.jpg,painting,religious,Italian,1451-1500
MASTER of St Francis,(active c. 1260-1280 in Umbria),View of the nave of the Lower Church,-,Fresco,"Lower Church, San Francesco, Assisi",https://www.wga.hu/detail/m/master/francis/00view.jpg,painting,religious,Italian,1251-1300
MASTER of the Acquavella Still-Life,(active 1610-20 in Rome),Still-Life with a Violinist,c. 1620,"Oil on canvas, 83 x 118 cm",Private collection,https://www.wga.hu/detail/m/master/acquavel/stillife.jpg,painting,still-life,Italian,1601-1650
MASTER of the Acts of Mercy,(active 1460s in Salzburg),St Lawrence before the Emperor (interior),1460s,Oil on panel,Private collection,https://www.wga.hu/detail/m/master/acts/lawrenc1.jpg,painting,religious,Austrian,1451-1500
MASTER of the Aix Annunciation,(active in 1440s),Annunciation,c. 1445,"Oil on wood, 155 x 176 cm","Sainte-Marie-Madeleine, Aix-en-Provence",https://www.wga.hu/detail/m/master/aix_annu/annunci.jpg,painting,religious,French,1401-1450
MASTER of the Aix-la-Chapelle Altarpiece,(active between 1480-1520 in Cologne),Madonna and Child,1490-1500,Panel,"Alte Pinakothek, Munich",https://www.wga.hu/detail/m/master/aix/aix1.jpg,painting,religious,German,1451-1500
MASTER of the Albertini,(active 1310s in Siena),The Virgin and Child with Six Angels,1310-15,"Egg tempera on synthetic support, transferred from wood, 194 x 171 cm","National Gallery, London",https://www.wga.hu/detail/m/master/albertin/virgin.jpg,painting,religious,Italian,1301-1350
MASTER of the Avignon School,(middle of the 15th century),Vision of Peter of Luxembourg,c. 1450,"Panel, 78 x 58 cm","Musée Calvet, Avignon",https://www.wga.hu/detail/m/master/avignon/luxembou.jpg,painting,religious,French,1451-1500
MASTER of the Bambino Vispo,(active 1420s in Florence),Virgin Mary,1422-23,"Tempera on poplar, 35 x 29 cm","Gemäldegalerie, Dresden",https://www.wga.hu/detail/m/master/bambino/virgin_m.jpg,painting,religious,Italian,1401-1450
MASTER of the Berswordt Altarpiece,(active 1390s in Westphalia),Berswordt Altarpiece,c. 1390,Tempera on wood,"Marienkirche, Dortmund",https://www.wga.hu/detail/m/master/bersword/berswor1.jpg,painting,religious,German,1351-1400
MASTER of the Blue Crucifixes,(active around 1250 in Umbria),Crucifix,c. 1250,Tempera on wood,"Convent of San Francesco, Assisi",https://www.wga.hu/detail/m/master/bluecruc/crucifix.jpg,painting,religious,Italian,1201-1250
MASTER of the Blue Jeans,(active 1680-1700 in Lombardy),A Beggar Boy with a Piece of Pie,1680s,"Oil on canvas, 86 x 71 cm","Galerie Canesso, Paris",https://www.wga.hu/detail/m/master/bluejean/beggar.jpg,painting,genre,Italian,1651-1700
MASTER of the Borgo Crucifix,(active 1250-1270),Crucifix,1255-60,"Tempera on wood, 238 x 194 cm","Pinacoteca Nazionale, Bologna",https://www.wga.hu/detail/m/master/borgo/borgo1.jpg,painting,religious,Italian,1251-1300
MASTER of the Brunswick Monogram,(active 1525-1550 in Antwerp),Abraham Leading his Son Isaac to the Sacrifice,c. 1535,"Wood, 40 x 32 cm","Musée du Louvre, Paris",https://www.wga.hu/detail/m/master/brunswic/abraham.jpg,painting,religious,Flemish,1501-1550
MASTER of the Burg Weiler Altarpiece,(active c. 1470 in Swabia),The Burg Weiler Altarpiece (interior),c. 1470,"Oil and gold on fir panel, 174 x 153 cm (central panel), 174 x 66 cm (each wing)","Metropolitan Museum of Art, New York",https://www.wga.hu/detail/m/master/burgweil/burgwei.jpg,painting,religious,German,1451-1500
MASTER of the Cassoni Campana,(active 1500-1525 in Florence),The Loves of Pasiphaë,1510s,"Oil on poplar panel, 69 x 155 cm","Musée du Petit Palais, Avignon",https://www.wga.hu/detail/m/master/cassoni/cassone1.jpg,painting,mythological,Italian,1501-1550
MASTER of the Castello della Manta,(active 1410s in Piedmont),View of the south wall,1411-16,Fresco,"Sala Baronale, Castello della Manta, Saluzzo",https://www.wga.hu/detail/m/master/castell/0view1.jpg,painting,mythological,Italian,1401-1450
MASTER of the Castello Nativity,(active 1445-1475 in Florence),Sts Justus and Clement Praying for Deliverance from the Vandals,c. 1450,"Tempera and gold on panel, 22 x 47 cm","Museum of Art, Philadelphia",https://www.wga.hu/detail/m/master/castello/castell1.jpg,painting,religious,Italian,1401-1450
MASTER of the Catholic Kings,(active 1485-1500 in Castile),The Marriage at Cana,c. 1495/1497,"Oil on panel, 137 x 93 cm","National Gallery of Art, Washington",https://www.wga.hu/detail/m/master/catholic/catholi.jpg,painting,religious,Spanish,1451-1500
MASTER of the Clarisse Panel,(documented 1274-1281 in Siena),Crucifixion,c. 1270,Fresco,"Duomo, Siena",https://www.wga.hu/detail/m/master/clarisse/crypt.jpg,painting,religious,Italian,1251-1300
MASTER of the Codex of Saint George,(active first half of the 14th century),Codex of St George (Folio 17r),1325-30,Tempera and gold on parchment,"Biblioteca Apostolica, Vatican",https://www.wga.hu/detail/m/master/codex/codex_1.jpg,illumination,religious,Italian,1301-1350
MASTER of the Dominican Effigies,(active c. 1328-1350 in Florence),Madonna with Child Enthroned and Four Saints,1330s,Illumination on parchment,"State Archive, Florence",https://www.wga.hu/detail/m/master/dominica/folio.jpg,illumination,religious,Italian,1301-1350
MASTER of the Dresden Prayer Book,(active 1465-1515 in Bruges),Hours of Philip the Fair,c. 1495,Manuscript (Additional MS 17280),"British Library, London",https://www.wga.hu/detail/m/master/dresden/hours1.jpg,illumination,religious,Flemish,1451-1500
MASTER of the Duke of Bedford,(active 1405-1435 in Paris),Tristan and Isolde,c. 1410,"Manuscript (Codex Vindobonensis 2537), 477 x 355 mm (folio size)","Österreichische Nationalbibliothek, Vienna",https://www.wga.hu/detail/m/master/bedford/1trista1.jpg,illumination,other,French,1401-1450
MASTER of the Fontainebleau School,(end of the 16th century),Mythological Allegory,c. 1580,"Oil on canvas, 130 x 96 cm","Musée du Louvre, Paris",https://www.wga.hu/detail/m/master/fontaine/allegory.jpg,painting,mythological,French,1551-1600
MASTER of the Habsburgs,(active 1490-1520 in Tyrol),Adoration of the Magi (fragment),c. 1500,Oil on panel,"Österreichische Galerie Belvedere, Vienna",https://www.wga.hu/detail/m/master/habsburg/adormagi.jpg,painting,religious,Austrian,1451-1500
MASTER of the Hartford Still-life,(active c. 1600 in Rome),A Table Laden with Flowers and Fruit,1600-10,"Oil on canvas, 74 x 100 cm","Wadsworth Atheneum, Hartford",https://www.wga.hu/detail/m/master/hartford/1table.jpg,painting,still-life,Italian,1601-1650
MASTER of the Holy Blood,(active c. 1530 in Bruges),Virgin and Child with St Catherine and St Barbara,1520-25,"Oil on oak panel, 87,5 x 66 cm (central panel), 88,5 x 28 cm (each wing)","Groeninge Museum, Bruges",https://www.wga.hu/detail/m/master/holybloo/altar1.jpg,painting,religious,Flemish,1501-1550
MASTER of the Holy Kinship,(active 1480-1518 in Cologne),The Holy Kinship Altarpiece (central panel),1500-03,"Oak, 144 x 187 cm","Wallraf-Richartz-Museum, Cologne",https://www.wga.hu/detail/m/master/holykins/altarpie.jpg,painting,religious,German,1501-1550
MASTER of the Hours of Maréchal de Boucicaut,(active 1405-1420 in Paris),Book of Hours of Maréchal de Boucicaut,1405-08,"Manuscript (Ms. 2), 275 x 190 mm","Musée Jacquemart-André, Paris",https://www.wga.hu/detail/m/master/boucicau/boucica1.jpg,illumination,religious,French,1401-1450
MASTER of the Housebook,(active 1475-90 in Mainz),Aristotle and Phyllis,c. 1485,"Dry point, diameter 155 mm","Rijksmuseum, Amsterdam",https://www.wga.hu/detail/m/master/hausbuch/aristotl.jpg,graphics,mythological,German,1451-1500
MASTER of the Isaac Stories,(active 1290s),Vault with the Church Fathers,c. 1295,Fresco,"Upper Church, San Francesco, Assisi",https://www.wga.hu/detail/m/master/isaac/doctor.jpg,painting,religious,Italian,1251-1300
MASTER of the Joseph Sequence,(active around 1500 in Brussels),Joseph and the Wife of Puthiphar,-,"Wood, 157 cm diameter","Alte Pinakothek, Munich",https://www.wga.hu/detail/m/master/joseph/joseph.jpg,painting,religious,Flemish,1501-1550
MASTER of the Legend of Saint Barbara,(active 1470-1500 in Bruges),Epitaph for the Nun Janne Colijns,c. 1491,"Oak, 56 x 54 cm","Staatliche Museen, Berlin",https://www.wga.hu/detail/m/master/legen/epitaph.jpg,painting,religious,Flemish,1451-1500
MASTER of the Legend of Saint Catherine,(active 1470-1500 in Brussels),Crucifixion of Christ,c. 1500,"Tempera on wood, 87 x 84 cm","Akademie der bildenden Künste, Vienna",https://www.wga.hu/detail/m/master/legend/crucifix.jpg,painting,religious,Flemish,1451-1500
MASTER of the Legend of Saint Lucy,(active c. 1480-1510 in Bruges),Legend of St Lucy,1480,"Oil on oak panel, 79 x 183 cm","Sint-Jacobskerk, Bruges",https://www.wga.hu/detail/m/master/legend3/0st_lucy.jpg,painting,religious,Flemish,1451-1500
MASTER of the Legend of Saint Ursula (I),(active 1480-1500 in Bruges),"Legend of St Ursula, the Church and the Synagogue",1475-82,"Oil on oak panel, 47,5 x 30 cm (each scene), 59 x 18,5 cm (wings)","Groeninge Museum, Bruges",https://www.wga.hu/detail/m/master/legend1/0ursula.jpg,painting,religious,Flemish,1451-1500
MASTER of the Legend of Saint Ursula (II),(active 1480-1520 in Cologne),Ursula with her Parents at the Altar,1492-96,"Canvas, 124 x 115 cm","Wallraf-Richartz-Museum, Cologne",https://www.wga.hu/detail/m/master/legend2/ursula1.jpg,painting,religious,German,1451-1500
MASTER of the Life of Saint John the Baptist,(active 1325-1350 in Rimini),Madonna and Child with Angels,1330s,"Tempera on panel, 101 x 48 cm","National Gallery of Art, Washington",https://www.wga.hu/detail/m/master/life_bap/mad_chil.jpg,painting,religious,Italian,1301-1350
MASTER of the Life of the Virgin,(active 1463-1480 in Cologne),The Birth of Mary,c. 1470,"Wood, 85 x 109 cm","Alte Pinakothek, Munich",https://www.wga.hu/detail/m/master/life/birth_m.jpg,painting,religious,German,1451-1500
MASTER of the Lille Adoration,(active 1510-1530 in Antwerp),Adoration of Shepherds,-,"Oil on panel, 87 x 63 cm","Musée des Beaux-Arts, Lille",https://www.wga.hu/detail/m/master/lille/adoratio.jpg,painting,religious,Flemish,1501-1550
MASTER of the Lyversberg Passion,(active 1460-1490 in Cologne),Lyversberg Passion (detail),-,"Oak, 93,5 x 68,4 cm","Wallraf-Richartz-Museum, Cologne",https://www.wga.hu/detail/m/master/lyversbe/passion1.jpg,painting,religious,German,1451-1500
MASTER of the Mascoli Altar,(active 1425-50),"Madonna, Child and Saints",c. 1430,"Marble, height 130 cm","Mascoli Chapel, Basilica di San Marco, Venice",https://www.wga.hu/detail/m/master/mascoli/madonna.jpg,sculpture,religious,Italian,1401-1450
MASTER of the Munich Marian Panels,(active in mid-15th century in Bavaria),The Annunciation,c. 1450,"Oil and gold on pine panel, 107 x 81 cm","Kunsthaus, Zurich",https://www.wga.hu/detail/m/master/marian/panel1.jpg,painting,religious,German,1451-1500
MASTER of the Osservanza,(active 1430-1450 in Siena),St Anthony Tempted by Gold,c. 1440,"Tempera and gold on wood, 48 x 35 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/detail/m/master/osservan/anthony1.jpg,painting,religious,Italian,1401-1450
MASTER of the Palazzo Venezia Madonna,(active around 1350 in Siena),Virgin and Child,c. 1350,"Tempera on wood, 73 x 42 cm","Galleria Nazionale d'Arte Antica, Rome",https://www.wga.hu/detail/m/master/palazzo/madonna.jpg,painting,religious,Italian,1301-1350
MASTER of the Parrot,(active 1525-50 in Antwerp),Mary Magdalen,1525-50,"Oil on oak panel, 45 x 31 cm",Private collection,https://www.wga.hu/detail/m/master/parrot/marymag1.jpg,painting,religious,Flemish,1501-1550
MASTER of the Pesaro Crucifix,(active 1380-1400 in Venice),St Cecilia and Her Husband Valerian Being Crowned by an Angel,c. 1380,"Tempera and gold on panel, 51 x 36 cm","Museum of Art, Philadelphia",https://www.wga.hu/detail/m/master/pesaro/cecilia.jpg,painting,religious,Italian,1351-1400
MASTER of the Pfullendorf Altar,(active c. 1500),The Birth of Mary,-,"Wood, 102,8 x 71 cm","Staatsgalerie, Stuttgart",https://www.wga.hu/detail/m/master/pfullend/birth.jpg,painting,religious,German,1401-1450
MASTER of the Piccolomini Madonna,(active 1450-1500 in Siena),Madonna and Child,-,Marble,"Galleria Chigi-Saracini, Siena",https://www.wga.hu/detail/m/master/piccolom/madonna.jpg,sculpture,religious,Italian,1451-1500
MASTER of the Playing Cards,(active 1435-1450 in the Upper Rhine),King of Wild Men,c. 1440,"Engraving, 133 x 89 mm","Kupferstichkabinett, Dresden",https://www.wga.hu/detail/m/master/playing/king.jpg,graphics,other,German,1401-1450
MASTER of the Polling Panels,(active 1435-1450 in Upper Bavaria),Prince Tassilo Rides to Hunting,1444,"Panel, 219 x 87,5 cm","Alte Pinakothek, Munich",https://www.wga.hu/detail/m/master/polling/1tassilo.jpg,painting,landscape,German,1401-1450
MASTER of the Prodigal Son,(active 1530-1560 in Antwerp),Parable of the Prodigal Son,1550s,"Oak wood, 129 x 215 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/detail/m/master/prodigal/1prodiga.jpg,painting,religious,Flemish,1501-1550
MASTER of the Registrum Gregorii,(active c. 972-1000),Codex Egberti,c. 980,"Manuscript (Cod. 24), 270 x 210 mm","Stadtbibliothek, Trier",https://www.wga.hu/detail/m/master/gregorii/egberti1.jpg,illumination,religious,German,0951-1000
MASTER of the St. Bartholomew Altar,(active 1470-1510 in Cologne),The Baptism of Christ,1500,Wood,"National Gallery of Art, Washington",https://www.wga.hu/detail/m/master/bartholo/baptism.jpg,painting,religious,German,1451-1500
MASTER of the Story of Griselda,(active 1490s in Siena),Artemisia,1492,"Oil on panel, 88 x 46 cm","Museo Poldi Pezzoli, Milan",https://www.wga.hu/detail/m/master/griselda/detailemisi.jpg,painting,mythological,Italian,1451-1500
MASTER of the Straus Madonna,(active 1385-1415 in Florence),Annunciation,1400-10,Panel,"Galleria dell'Accademia, Florence",https://www.wga.hu/detail/m/master/straus/annuncia.jpg,painting,religious,Italian,1401-1450
MASTER of the Tegernsee Passion,(active 1430-1450 in Germany),"Crucifixion, detail from right side",1440-45,Pine panel,"Alte Pinakothek, Munich",https://www.wga.hu/detail/m/master/tegernse/crucifix.jpg,painting,religious,German,1401-1450
MASTER of the Trebon Altarpiece,(active in 1380-1400 in Bohemia),The Adoration of Jesus,Before 1380,"Tempera on spruce, 127 X 96.3 cm","Alsová Jihoceská Galeria, Hluboká",https://www.wga.hu/detail/m/master/trebon/adorati.jpg,painting,religious,Bohemian,1351-1400
MASTER of the Vienna Adoration,(active around 1410),Adoration,c. 1410,"Tempera on lindenwood, 26 x 22 cm","Szépmûvészeti Múzeum, Budapest",https://www.wga.hu/detail/m/master/vienna/adorati.jpg,painting,religious,Austrian,1401-1450
MASTER of the View of Ste Gudule,(active c. 1480 in Brussels),St Catherine of Alexandria with Sts Elizabeth of Hungary and Dorothy,c. 1480,"Oil on panel, 45 x 47 cm",Private collection,https://www.wga.hu/detail/m/master/gudule/catherin.jpg,painting,religious,Flemish,1451-1500
MASTER of the Virgo inter Virgines,(active 1470-1500 in Delft),"Virgin and Child with Sts Catherine, Cecilia, Barbara, and Ursula",c. 1490,"Oil on panel, 123 x 102 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/detail/m/master/virgo/0_virgin.jpg,painting,religious,Netherlandish,1451-1500
MASTER of the Votive Picture of Sankt Lambrecht,(active around 1430 in Austria),The Holy Trinity,1430,"Linden, 25 x 21,5 cm","Museum mittelalterlicher österreichischer Kunst, Vienna",https://www.wga.hu/detail/m/master/votive/trinity.jpg,painting,religious,Austrian,1401-1450
MASTER PAUL of Lõcse,(active 1500-1520 in Upper Hungary),High Altarpiece of St. James,1508-17,"Wood, total height 18,62 m","St James Church, Lõcse (presently Levoca)",https://www.wga.hu/detail/m/master/paul/1james.jpg,sculpture,religious,Hungarian,1501-1550
MASTER THEODERIC,(active 1350-70 in Prague),Chapel of the Holy Cross,1360-65,Tempera on wood,"Chapel of the Cross, Karlstein",https://www.wga.hu/detail/m/master/theoderi/karlste.jpg,painting,religious,Bohemian,1351-1400
MASTER THOMAS de Coloswar,(first half of 15th century),Crucifixion,1427,Tempera on wood,"Christian Museum, Esztergom",https://www.wga.hu/detail/m/master/thomas/1garam.jpg,painting,religious,Hungarian,1401-1450
"MATEJKO, Jan","(b. 1838, Kraków, d. 1893, Kraków)",Portrait of Fryderyk Czartoryski,-,"Oil on canvas, 10 ,5 x 14,5 cm","The Hermitage, St. Petersburg",https://www.wga.hu/detail/m/matejko/portrait.jpg,painting,portrait,Polish,1851-1900
"MATES, Joan","(b. ca. 1370, Vilafranca del Penedes, d. 1431, Barcelona)",Sts John the Baptist and John the Evangelist with a Donor,c. 1410,"Tempera on panel, 191 x 121 cm","Museo Thyssen-Bornemisza, Madrid",https://www.wga.hu/detail/m/mates/sts_john.jpg,painting,religious,Catalan,1401-1450
"MATHAM, Jacob","(b. 1571, Haarlem, d. 1631, Haarlem)",Market Scene,1603,"Engraving, 240 x 320 mm","Teylers Museum, Haarlem",https://www.wga.hu/detail/m/matham/jacob/market_s.jpg,graphics,genre,Netherlandish,1601-1650
