AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"BERGOGNONE, Ambrogio","(b. ca. 1453, Fossano, d. 1523, Milano)",St Ambrose with Saints,c. 1514,Panel,"Certosa, Pavia",https://www.wga.hu/detail/b/bergogno/ambrose.jpg,painting,religious,Italian,1501-1550
"BERGOIJS, Claes",(active 1651-1668 in Amsterdam),Still-Life,-,"Oil on canvas, 94 x 83 cm",Private collection,https://www.wga.hu/detail/b/bergoijs/stil_lif.jpg,painting,still-life,Dutch,1651-1700
"BERGONZONI, Giovanni Battista",(ca. 1628-1692),Interior view,begun 1687,Photo,"Santa Maria della Vita, Bologna",https://www.wga.hu/detail/b/bergonzo/bologna1.jpg,architecture,interior,Italian,1651-1700
"BERJON, Antoine","(b. 1754, Lyon, d. 1843, Lyon)",Still-Life with a Basket of Flowers,1814,"Oil on canvas, 66 x 50 cm","Musée du Louvre, Paris",https://www.wga.hu/detail/b/berjon/flowers.jpg,painting,still-life,French,1801-1850
"BERLINGHIERI, Bonaventura",(active in mid-13th century),Madonna and Child with Saints and Crucifixion,1260-70,"Tempera on wood, 103 x 122 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/detail/b/berlingh/mad_cruc.jpg,painting,religious,Italian,1201-1250
"BERMEJO, Bartolomé","(b. ca. 1440, Cordova, d. ca. 1500, Barcelona)",Christ Leading the Patriarchs to the Paradise,c. 1480,Tempera on wood,"Institute of Hispanic Art, Barcelona",https://www.wga.hu/detail/b/bermejo/christ_l.jpg,painting,religious,Spanish,1451-1500
BERNARD D'AGESCI,"(b. 1756, Niort, d. 1829, Paris)",Lady Reading the Letters of Heloise and Abélard,c.1780,"Oil on canvas, 81 x 65 cm","Art Institute, Chicago",https://www.wga.hu/detail/b/bernard/reading.jpg,painting,genre,French,1751-1800
"BERNARD, Émile","(b. 1868, Lille, d. 1941, Paris)",Breton Women in a Meadow,1888,"Oil on canvas, 74 x 92 cm",Private collection,https://www.wga.hu/detail/b/bernarde/breton1.jpg,painting,other,French,1851-1900
"BERNARD, Joseph","(b. 1866, Vienne, Isère, d. 1931, Boulogne-sur-Seine)",Turning to Nature,6-Jul,"Stone, 32 x 29 x 32 cm","Musée d'Orsay, Paris",https://www.wga.hu/detail/b/bernardf/turning.jpg,painting,portrait,French,1851-1900
"BERNARDI, Giuseppe","(b. 1694, Pagnano, d. 1774, Venezia)",St John the Evangelist,c. 1766,Marble,"Santa Maria della Fava, Venice",https://www.wga.hu/detail/b/bernardg/john_eva.jpg,sculpture,religious,Italian,1701-1750
BERNARDINO DEL SIGNORACCIO,"(b. 1460, Pistoia, d. ca. 1532, Pistoia)",Madonna Enthroned with Saints,1495,Tempera on wood,"Museo Nazionale di Capodimonte, Naples",https://www.wga.hu/detail/b/bernardh/madonna.jpg,painting,religious,Italian,1451-1500
BERNARDINO DI MARIOTTO DELLO STAGNO,"(b. ca. 1478, Perugia, d. 1566, Perugia)",Madonna and Child with Sts Severino and Dominic,1512,"Tempera on canvas transferred from wood, 50 x 34 cm","Pinacoteca, Vatican",https://www.wga.hu/detail/b/bernardi/madonna.jpg,painting,religious,Italian,1501-1550
"BERNERO, Giovanni Battista","(b. 1736, Cavallerleone, d. 1796, Torino)",Orion,c. 1770,"Marble, life-size","Stupinigi, Turin",https://www.wga.hu/detail/b/bernero/orion.jpg,sculpture,mythological,Italian,1751-1800
"BERNINI, Gian Lorenzo","(b. 1598, Napoli, d. 1680, Roma)",Exterior view,1662-64,Photo,"Santa Maria Assunta in Cielo, Ariccia",https://www.wga.hu/detail/b/bernini/gianlore/architec/ariccia1.jpg,architecture,other,Italian,1601-1650
"BERNINI, Pietro","(b. 1562, Sesto Fiorentino, d. 1629, Roma)",The Assumption,1607-10,Marble,"Santa Maria Maggiore, Rome",https://www.wga.hu/detail/b/bernini/pietro/assumpti.jpg,sculpture,religious,Italian,1551-1600
